epoch,train_loss,val_loss,accuracy,precision,recall,f1
1,0.6011440441524788,0.5527022123336792,0.7402777777777778,0.7484939759036144,0.9613152804642167,0.8416596104995766
2,0.5442816420804714,0.5389499452379015,0.7402777777777778,0.7419354838709677,0.9787234042553191,0.8440366972477065
3,0.5324500991719263,0.55994696882036,0.7166666666666667,0.7693631669535284,0.8646034816247582,0.8142076502732241
4,0.5154612047798975,0.6436972750557793,0.6541666666666667,0.8383838383838383,0.6421663442940039,0.7272727272727273
5,0.4738445335396796,0.5258677456114027,0.7541666666666667,0.7715654952076677,0.9342359767891683,0.8451443569553806
6,0.46112936946326305,0.6632709304491679,0.6069444444444444,0.8482142857142857,0.5512572533849129,0.6682297772567409
7,0.4468384751349367,0.5089524004194471,0.7333333333333333,0.7777777777777778,0.8800773694390716,0.8257713248638838
8,0.41982857776872395,0.5679243856006199,0.7513888888888889,0.7529940119760479,0.9729206963249516,0.8489451476793249
9,0.36907664782970306,0.548724725511339,0.7694444444444445,0.7790143084260731,0.9477756286266924,0.8551483420593369
10,0.3413598476784558,0.5143912580278185,0.7694444444444445,0.7910447761194029,0.9226305609284333,0.8517857142857143
11,0.29610025629106185,0.6841512123743693,0.7111111111111111,0.8280254777070064,0.7543520309477756,0.7894736842105263
12,0.3029457513927461,0.6266238901350233,0.7652777777777777,0.771875,0.9555125725338491,0.8539325842696629
13,0.2552180653771165,0.7545857734150356,0.7222222222222222,0.8782816229116945,0.7117988394584139,0.7863247863247863
14,0.2169696342907833,0.5809447805086771,0.7722222222222223,0.7888707037643208,0.9323017408123792,0.8546099290780141
15,0.19822907443674292,0.49863302575217355,0.8111111111111111,0.839572192513369,0.9110251450676983,0.8738404452690167
