epoch,train_loss,val_loss,accuracy,precision,recall,f1
1,0.5922948163845093,0.5443679372469584,0.7486111111111111,0.7586705202312138,0.974025974025974,0.8529650690495532
2,0.5461215668562677,0.596245092815823,0.7375,0.7717391304347826,0.922077922077922,0.8402366863905325
3,0.5351809140666155,0.7572186589241028,0.3138888888888889,0.9090909090909091,0.09276437847866419,0.16835016835016836
4,0.520259722233978,0.5200380206108093,0.7541666666666667,0.7600574712643678,0.9814471243042672,0.8566801619433199
5,0.5015251263225604,0.5335397250122494,0.7444444444444445,0.7598828696925329,0.9628942486085343,0.8494271685761048
6,0.4851112364687494,0.5724631097581652,0.6819444444444445,0.8369565217391305,0.7142857142857143,0.7707707707707707
7,0.46953509649124026,0.5890782793362935,0.6541666666666667,0.8193832599118943,0.6901669758812616,0.7492447129909365
8,0.4512610087878342,0.515933695104387,0.7736111111111111,0.7928348909657321,0.9443413729128015,0.8619813717188823
9,0.42745796397726915,0.5677015092637804,0.7402777777777778,0.7802547770700637,0.9090909090909091,0.8397600685518424
10,0.417125816237972,0.5125520785649618,0.7611111111111111,0.8259325044404974,0.862708719851577,0.8439201451905626
11,0.3802115856027719,0.6049681398603651,0.7694444444444445,0.7955625990491284,0.9313543599257885,0.8581196581196581
12,0.3424852321383108,0.5862723006142511,0.7472222222222222,0.8040885860306644,0.87569573283859,0.8383658969804618
13,0.34594699528201583,0.5550339586204953,0.7611111111111111,0.8429906542056075,0.8367346938775511,0.839851024208566
14,0.31486845677948194,0.9019805981053246,0.7597222222222222,0.7644508670520231,0.9814471243042672,0.859463850528026
15,0.2941066754820778,0.5590070380104912,0.7527777777777778,0.833641404805915,0.8367346938775511,0.8351851851851851
