epoch,train_loss,val_loss,accuracy,precision,recall,f1
1,0.560135368642065,0.5382556411955092,0.7625,0.7,0.04,0.07567567567567568
2,0.5018426563724042,0.5579201936721802,0.7569444444444444,0.0,0.0,0.0
3,0.48095181054355124,0.5313417779074775,0.7611111111111111,0.6363636363636364,0.04,0.07526881720430108
4,0.4653884130101437,0.5391626927587722,0.7472222222222222,0.46956521739130436,0.30857142857142855,0.3724137931034483
5,0.44386137487284627,0.5676508949862586,0.7597222222222222,0.5555555555555556,0.05714285714285714,0.10362694300518134
6,0.4219206888442157,0.7064994838502672,0.7625,0.75,0.03428571428571429,0.06557377049180328
7,0.39956875363336997,0.5715433478355407,0.7125,0.4069767441860465,0.4,0.4034582132564842
8,0.3682995522837955,0.5107014775276184,0.7625,0.5263157894736842,0.22857142857142856,0.3187250996015936
9,0.3475151060769524,0.7364296952883402,0.7666666666666667,0.5393258426966292,0.2742857142857143,0.36363636363636365
10,0.3239415411983939,0.6690550360414717,0.7541666666666667,0.4852941176470588,0.18857142857142858,0.2716049382716049
11,0.30235401680482765,0.6749264770083957,0.7708333333333334,0.6388888888888888,0.13142857142857142,0.21800947867298578
12,0.27917873862511006,0.6030168135960897,0.7569444444444444,0.5,0.36,0.4186046511627907
13,0.24631437416000473,0.693002168337504,0.7680555555555556,0.5645161290322581,0.2,0.29535864978902954
14,0.23844911547305891,0.8289166536596086,0.7819444444444444,0.6323529411764706,0.24571428571428572,0.35390946502057613
15,0.23264666102999984,0.7171758559015062,0.7208333333333333,0.44144144144144143,0.56,0.49370277078085645
